cycle,n_adults,prev,lcl,ucl
1999-2000,,,,
2001-2002,5396.0,24.557181178662617,23.11325638012279,26.00110597720244
2003-2004,5034.0,25.52229146477471,24.030370973404928,27.014211956144496
2005-2006,4973.0,24.03480766767683,22.570199437304954,25.499415898048706
2007-2008,5928.0,22.820500362774272,21.452263402206,24.188737323342547
2009-2010,6218.0,20.342850302866893,19.097839442024895,21.587861163708894
2011-2012,5551.0,19.80663071766303,18.34330481537711,21.26995661994895
2013-2014,5767.0,20.223018717623805,18.923526154327135,21.522511280920476
2015-2016,5708.0,18.6209005829739,17.225354649892164,20.016446516055634
2017-2018,5569.0,17.39768467356569,15.876271607359532,18.919097739771846
2021-2022,,,,
